Day,Total Rentals,Day of Year
2020-12-30,16882,365
2020-12-31,14832,366
2021-01-01,10829,1
2021-01-02,17316,2
2021-01-03,13448,3
2021-01-04,10271,4
2021-01-05,9424,5
2021-01-06,12237,6
2021-01-07,12448,7
2021-01-08,11264,8
2021-01-09,19463,9
2021-01-10,13643,10
2021-01-11,11550,11
2021-01-12,11607,12
2021-01-13,8512,13
2021-01-14,6672,14
2021-01-15,13853,15
2021-01-16,12174,16
2021-01-17,24580,17
2021-01-18,12843,18
2021-01-19,12569,19
2021-01-20,9116,20
2021-01-21,14954,21
2021-01-22,16665,22
2021-01-23,24137,23
2021-01-24,6560,24
2021-01-25,13123,25
2021-01-26,10762,26
2021-01-27,12386,27
2021-01-28,13627,28
2021-01-29,14654,29
2021-01-30,7823,30
2021-01-31,16505,31
2021-02-01,12413,32
2021-02-02,14250,33
2021-02-03,12884,34
2021-02-04,11056,35
2021-02-05,19272,36
2021-02-06,18835,37
2021-02-07,6195,38
2021-02-08,6631,39
2021-02-09,7156,40
2021-02-10,11592,41
2021-02-11,11022,42
2021-02-12,11738,43
2021-02-13,15740,44
2021-02-14,13839,45
2021-02-15,13312,46
2021-02-16,12162,47
2021-02-17,12820,48
2021-02-18,16086,49
2021-02-19,17394,50
2021-02-20,39331,51
2021-02-21,33111,52
2021-02-22,13787,53
2021-02-23,21344,54
2021-02-24,22021,55
2021-02-25,18264,56
2021-02-26,29264,57
2021-02-27,51673,58
2021-02-28,30962,59
2021-03-01,17999,60
2021-03-02,18909,61
2021-03-03,12281,62
2021-03-04,15354,63
2021-03-05,20112,64
2021-03-06,30461,65
2021-03-07,28530,66
2021-03-08,18357,67
2021-03-09,25222,68
2021-03-10,11125,69
2021-03-11,16641,70
2021-03-12,18780,71
2021-03-13,23810,72
2021-03-14,21735,73
2021-03-15,16296,74
2021-03-16,18664,75
2021-03-17,18701,76
2021-03-18,16713,77
2021-03-19,26505,78
2021-03-20,34447,79
2021-03-21,32505,80
2021-03-22,24958,81
2021-03-23,23686,82
2021-03-24,22729,83
2021-03-25,20330,84
2021-03-26,17353,85
2021-03-27,39620,86
2021-03-28,23595,87
2021-03-29,34153,88
2021-03-30,49114,89
2021-03-31,39837,90
2021-04-01,35923,91
2021-04-02,38426,92
2021-04-03,33399,93
2021-04-04,46711,94
2021-04-05,26358,95
2021-04-06,21920,96
2021-04-07,24087,97
2021-04-08,26707,98
2021-04-09,29963,99
2021-04-10,23306,100
2021-04-11,30912,101
2021-04-12,28239,102
2021-04-13,28780,103
2021-04-14,30466,104
2021-04-15,25780,105
2021-04-16,33466,106
2021-04-17,42443,107
2021-04-18,35889,108
2021-04-19,29758,109
2021-04-20,34859,110
2021-04-21,29787,111
2021-04-22,31767,112
2021-04-23,34276,113
2021-04-24,44746,114
2021-04-25,29315,115
2021-04-26,25919,116
2021-04-27,30175,117
2021-04-28,21648,118
2021-04-29,27355,119
2021-04-30,28554,120
2021-05-01,34225,121
2021-05-02,30249,122
2021-05-03,20842,123
2021-05-04,22037,124
2021-05-05,22633,125
2021-05-06,26989,126
2021-05-07,30954,127
2021-05-08,22182,128
2021-05-09,34038,129
2021-05-10,25958,130
2021-05-11,30218,131
2021-05-12,31453,132
2021-05-13,24494,133
2021-05-14,31347,134
2021-05-15,28462,135
2021-05-16,17532,136
2021-05-17,20840,137
2021-05-18,27365,138
2021-05-19,29255,139
2021-05-20,26984,140
2021-05-21,21274,141
2021-05-22,29662,142
2021-05-23,21893,143
2021-05-24,21118,144
2021-05-25,28822,145
2021-05-26,32206,146
2021-05-27,37461,147
2021-05-28,32602,148
2021-05-29,49256,149
2021-05-30,47191,150
2021-05-31,52517,151
2021-06-01,45240,152
2021-06-02,45652,153
2021-06-03,46557,154
2021-06-04,22531,155
2021-06-05,56194,156
2021-06-06,41089,157
2021-06-07,39140,158
2021-06-08,43935,159
2021-06-09,46144,160
2021-06-10,43979,161
2021-06-11,43767,162
2021-06-12,55680,163
2021-06-13,48068,164
2021-06-14,40609,165
2021-06-15,43461,166
2021-06-16,43633,167
2021-06-17,29772,168
2021-06-18,18864,169
2021-06-19,35318,170
2021-06-20,28568,171
2021-06-21,20137,172
2021-06-22,34872,173
2021-06-23,41917,174
2021-06-24,40277,175
2021-06-25,38915,176
2021-06-26,49445,177
2021-06-27,29549,178
2021-06-28,28491,179
2021-06-29,31218,180
2021-06-30,36581,181
2021-07-01,41278,182
2021-07-02,41976,183
2021-07-03,39470,184
2021-07-04,32350,185
2021-07-05,30382,186
2021-07-06,23805,187
2021-07-07,37835,188
2021-07-08,37737,189
2021-07-09,38936,190
2021-07-10,39794,191
2021-07-11,41196,192
2021-07-12,25857,193
2021-07-13,38130,194
2021-07-14,41059,195
2021-07-15,38572,196
2021-07-16,42556,197
2021-07-17,51453,198
2021-07-18,46029,199
2021-07-19,37758,200
2021-07-20,38929,201
2021-07-21,44072,202
2021-07-22,46032,203
2021-07-23,43293,204
2021-07-24,36489,205
2021-07-25,18757,206
2021-07-26,35452,207
2021-07-27,36188,208
2021-07-28,26187,209
2021-07-29,41432,210
2021-07-30,27498,211
2021-07-31,34932,212
2021-08-01,33986,213
2021-08-02,33914,214
2021-08-03,37857,215
2021-08-04,43709,216
2021-08-05,31913,217
2021-08-06,29207,218
2021-08-07,24654,219
2021-08-08,24885,220
2021-08-09,21423,221
2021-08-10,39978,222
2021-08-11,42690,223
2021-08-12,38949,224
2021-08-13,36652,225
2021-08-14,44739,226
2021-08-15,37777,227
2021-08-16,33033,228
2021-08-17,33057,229
2021-08-18,38586,230
2021-08-19,37679,231
2021-08-20,36895,232
2021-08-21,32946,233
2021-08-22,33392,234
2021-08-23,35296,235
2021-08-24,38959,236
2021-08-25,40350,237
2021-08-26,36866,238
2021-08-27,37749,239
2021-08-28,38730,240
2021-08-29,36638,241
2021-08-30,32518,242
2021-08-31,33945,243
2021-09-01,37032,244
2021-09-02,38494,245
2021-09-03,38997,246
2021-09-04,40664,247
2021-09-05,44551,248
2021-09-06,41013,249
2021-09-07,46207,250
2021-09-08,45320,251
2021-09-09,40528,252
2021-09-10,37069,253
2021-09-11,45339,254
2021-09-12,40471,255
2021-09-13,38084,256
2021-09-14,22563,257
2021-09-15,41178,258
2021-09-16,42941,259
2021-09-17,41115,260
2021-09-18,50778,261
2021-09-19,30563,262
2021-09-20,37422,263
2021-09-21,44229,264
2021-09-22,45798,265
2021-09-23,42484,266
2021-09-24,45808,267
2021-09-25,48026,268
2021-09-26,44692,269
2021-09-27,31913,270
2021-09-28,32210,271
2021-09-29,39585,272
2021-09-30,33840,273
2021-10-01,33931,274
2021-10-02,17566,275
2021-10-03,33429,276
2021-10-04,30711,277
2021-10-05,34508,278
2021-10-06,40534,279
2021-10-07,38070,280
2021-10-08,37190,281
2021-10-09,47379,282
2021-10-10,36253,283
2021-10-11,36383,284
2021-10-12,38036,285
2021-10-13,39983,286
2021-10-14,40312,287
2021-10-15,37895,288
2021-10-16,35227,289
2021-10-17,34319,290
2021-10-18,30508,291
2021-10-19,35381,292
2021-10-20,34074,293
2021-10-21,35627,294
2021-10-22,35081,295
2021-10-23,38220,296
2021-10-24,34851,297
2021-10-25,33695,298
2021-10-26,37901,299
2021-10-27,39350,300
2021-10-28,40261,301
2021-10-29,30586,302
2021-10-30,35946,303
2021-10-31,26505,304
2021-11-01,32590,305
2021-11-02,34522,306
2021-11-03,33793,307
2021-11-04,33164,308
2021-11-05,32720,309
2021-11-06,33235,310
2021-11-07,29654,311
2021-11-08,30729,312
2021-11-09,34796,313
2021-11-10,29583,314
2021-11-11,35499,315
2021-11-12,29458,316
2021-11-13,34901,317
2021-11-14,28534,318
2021-11-15,31162,319
2021-11-16,33644,320
2021-11-17,35237,321
2021-11-18,35993,322
2021-11-19,34507,323
2021-11-20,33898,324
2021-11-21,26378,325
2021-11-22,29583,326
2021-11-23,33219,327
2021-11-24,32699,328
2021-11-25,32516,329
2021-11-26,31298,330
2021-11-27,17097,331
2021-11-28,20285,332
2021-11-29,25138,333
2021-11-30,31109,334
2021-12-01,28620,335
2021-12-02,29588,336
2021-12-03,28510,337
2021-12-04,27348,338
2021-12-05,16015,339
2021-12-06,23099,340
2021-12-07,22831,341
2021-12-08,29319,342
2021-12-09,28584,343
2021-12-10,27987,344
2021-12-11,21421,345
2021-12-12,22152,346
2021-12-13,24839,347
2021-12-14,27244,348
2021-12-15,27696,349
2021-12-16,26495,350
2021-12-17,24450,351
2021-12-18,25333,352
2021-12-19,17058,353
2021-12-20,19225,354
2021-12-21,18420,355
2021-12-22,16894,356
2021-12-23,16199,357
2021-12-24,10091,358
2021-12-25,14859,359
2021-12-26,8160,360
2021-12-27,9066,361
2021-12-28,13513,362
2021-12-29,15285,363
2021-12-30,19179,364
2021-12-31,21549,365
2022-01-01,22487,1
2022-01-02,16494,2
2022-01-03,18828,3
2022-01-04,15116,4
